ID,Status,Name,Purpose,Prompt
"RS-01","CURRENT","Research Scope Discovery","Derive the smallest research scope needed for the decision.","Define the objective, decision, known facts, working assumptions, blocking unknowns, and research topics. Classify topics as MUST/SHOULD/COULD. Do not ask the user to design the research plan. Ask only if an unknown materially blocks reliable work."
"RS-02","CURRENT","Engineering Research Frame","Create a concise engineering research frame before non-trivial research.","Frame the request around objective, decision, constraints, KNOWN/WORKING/OPEN assumptions, evidence required, research route, and stop condition. Preserve the user's terminology and constraints."
"RS-03","CURRENT","Product Mechanism Technology Research","Research products, mechanisms, technologies and precedents relevant to an R&D concept.","Search primary/manufacturer and technical sources first. Distinguish product existence/advertised function from internal mechanism. Classify precedents as DIRECT, ALTERNATIVE, or ADJACENT. Report evidence, mechanism only when supported, gaps, and engineering implications."
"RS-04","CURRENT","Material Process Supplier Research","Research materials, processes, components and commercial suppliers for prototyping.","Use manufacturer TDS/SDS/application data where available. Tie supplier claims to current evidence. Do not infer a specific grade from generic chemistry. Cover compatibility, processing, durability and practical sourcing risks."
"RS-05","CURRENT","Patent Prior-Art Research","Find and compare relevant patent/prior-art signals for an R&D concept.","Expand from keywords to mechanism terminology and CPC/IPC where useful. Inspect strong candidates beyond title/abstract, including independent claims, relevant dependent claims, figures, family and status when material. Do not claim novelty from absence of found patents. This is technical research, not legal advice."
"RS-06","CURRENT","Engineering Literature Research","Research engineering/scientific evidence for mechanism, material, performance or reliability questions.","Decompose into physical principle, mechanism, materials, processing, performance, compatibility, degradation, reliability and test methods as relevant. Use authoritative technical sources and literature. State limitations, conflicts and applicability."
"RS-07","CURRENT","Deep Research Escalation","Run deeper research only when broad, conflicting, high-risk or decision-critical uncertainty remains.","Reframe around the decision. Use multiple source types and rounds where useful, seek independent corroboration and disconfirming evidence, verify consequential claims, and finish with explicit confidence and unresolved gaps."
"RS-08","CURRENT","Evidence Synthesis","Merge research findings into one engineering decision-support result.","Output: conclusion; decision-relevant evidence; comparison/feature map when useful; engineering interpretation; risks; unresolved evidence; next steps; sources. Label EVIDENCED, INFERRED, PROPOSED, WORKING ASSUMPTION, and UNKNOWN."
"RS-09","CURRENT","Evidence Gap Analysis","Identify the missing evidence that could change the decision.","List the claim/question, current evidence, missing evidence, impact on decision, and the smallest next research action. Do not expand into unrelated research."
"EV-01","CURRENT","Idea Evaluation","Evaluate an R&D idea against decision-relevant criteria.","Assess User Value, Technical Feasibility, Novelty/Differentiation, Business Potential and Evidence as applicable. Explain the evidence and major uncertainty. Do not force a numeric score unless requested."
"EV-02","CURRENT","Deep Analyze Idea","Deeply analyze a selected R&D idea.","Cover user problem/value, existing solutions/competitors, technology/mechanism, feasibility, risks, patent/IP landscape, application, assumptions, and verification needs. Escalate research depth only where consequential uncertainty remains."
