Competitor Tech ID,Competitor / Brand,Product / Platform,Product Area,User Function,Technology / Architecture,How It Works,Differentiating Capability,Limitation / Remaining Gap,Maturity,Related Market Signal IDs,Source ID
CT-001,Delta Faucet,H2Okinetic Shower / PowerDrench,Shower,"Tạo cảm giác tia mạnh hơn, vùng phun rộng hơn với lưu lượng hạn chế",Kênh dẫn nước định hình dòng chảy thành dạng dao động/tốc độ cao và kiểm soát kích thước giọt mà không cần chi tiết chuyển động.,"Các kênh bên trong đổi hướng dòng nước theo dạng sóng/quạt được thiết kế sẵn, tạo cảm giác lượng nước và áp lực lớn hơn ở cùng lưu lượng.",Tăng cảm nhận về áp lực/vùng phun mà không đơn thuần tăng lưu lượng; tạo khác biệt bằng cơ chế vật lý của tia phun.,"Hiệu năng phụ thuộc vào áp lực, hình học và việc tinh chỉnh tia phun; không thực sự làm tăng áp lực cấp nước.",Mature,MS-001;MS-017,SRC-222
CT-002,Delta Faucet,TempAssure Thermostatic Technology,Shower,Duy trì nhiệt độ tắm ổn định,Cụm van thermostatic tự động điều chỉnh tỷ lệ nước nóng/lạnh theo nhiệt độ nước.,Phần tử nhạy nhiệt điều chỉnh cơ cấu trộn khi nhiệt độ nước đầu ra thay đổi.,"Giảm dao động nhiệt độ, đồng thời tách điều khiển nhiệt độ và lưu lượng trong nhiều cấu hình.",Làm tăng độ phức tạp/chi phí của cartridge; hiệu năng vẫn phụ thuộc vào điều kiện cấp nước và lắp đặt.,Mature,MS-004;MS-012,SRC-332
CT-003,Delta Faucet,Touch-Clean Spray Holes,Shower,Giúp vệ sinh mặt sen dễ dàng hơn,Đầu phun bằng cao su đàn hồi.,"Đầu phun elastomer mềm biến dạng khi được lau, giúp bong cặn khoáng bám trên bề mặt đầu ra.","Cơ cấu bảo trì đơn giản, người dùng không cần dụng cụ hoặc hóa chất tẩy rửa.",Chỉ xử lý cặn ở phần mặt sen có thể tiếp cận; không ngăn được cáu cặn ở phía trước hoặc bên trong hệ thống.,Mature,MS-015,SRC-333
CT-009,hansgrohe,PowderRain,Shower,"Tạo cảm giác tắm mềm mại, thư giãn hơn",Kiến trúc đầu phun tạo giọt nước mịn.,"Hình học đầu phun chia dòng nước thành nhiều giọt nhỏ, làm thay đổi cảm giác trên da và đặc tính âm thanh.",Tạo khác biệt cảm nhận rõ so với tia sen mưa thông thường.,Giọt nhỏ có thể nhạy hơn với áp lực và tạo cảm giác ít mạnh hơn.,Mature,MS-007,SRC-099
CT-010,hansgrohe,Rain / PowderRain / Whirl Select,Shower,Thay đổi cảm giác tắm theo hoạt động hoặc tâm trạng,Giao diện Mechanical Select với nhiều đường tia phun.,Bộ chuyển dòng bên trong thay đổi đường nước hoặc nhóm đầu phun đang hoạt động.,Tạo nhiều cảm giác tắm khác nhau trong cùng một tay sen.,Làm tăng số chi tiết cơ khí; khả năng cá nhân hóa vẫn giới hạn ở các chế độ phun được định trước.,Mature,MS-007,SRC-348
CT-011,hansgrohe,QuickClean flexible silicone jets,Shower,Dễ dàng loại bỏ cặn vôi khỏi đầu phun sen,Đầu tia phun bằng silicone đàn hồi.,"Các lỗ phun bằng elastomer biến dạng khi lau, giúp giải phóng cặn bám.","Vệ sinh với ít thao tác, không cần hóa chất hoặc dụng cụ.",Chỉ xử lý các đầu phun có thể tiếp cận; cặn bên trong vẫn có thể xuất hiện.,Mature,MS-015,SRC-349
CT-012,Moen,U by Moen Smart Shower,Shower,"Cá nhân hóa nhiệt độ, đầu ra và các thiết lập tắm","Hệ sen số kết nối Wi-Fi/cloud với bộ điều khiển, ứng dụng và hệ sinh thái điều khiển bằng giọng nói.","Bộ điều khiển số giao tiếp với hệ thống van/điều khiển để quản lý nhiệt độ, đầu ra và các thiết lập đã lưu.","Cá nhân hóa mạnh nhờ nhiều thiết lập, ứng dụng và điều khiển bằng giọng nói.",Cần hạ tầng điện/mạng và làm tăng độ phức tạp của toàn hệ thống.,Mature,MS-007;MS-018;MS-020,SRC-336
CT-013,Moen,Magnetix Magnetic Docking,Shower,Nhả và đặt tay sen dễ dàng với ít thao tác,Cơ cấu dock bằng nam châm.,Nam châm vĩnh cửu tự căn chỉnh và giữ tay sen đúng vị trí.,"Có thể đặt tay sen bằng một tay; nhiều vị trí dock có thể hỗ trợ trẻ em, vật nuôi và người tắm ở tư thế ngồi.",Hình học nam châm/dock giới hạn thiết kế tay sen và giá đỡ; bản thân cơ cấu này không giải quyết được việc điều chỉnh chiều cao cho mọi người dùng.,Mature,MS-005;MS-006;MS-019,SRC-337
CT-015,KOHLER,Anthem Digital Shower,Shower,Điều khiển nhiều chức năng và cá nhân hóa trải nghiệm tắm cao cấp,"Bộ điều khiển số cho nhiệt độ, lưu lượng, nhiều đầu ra và tùy chọn steam/lighting/sound.",Giao diện số điều khiển hệ thống van/đầu ra và lưu các thiết lập của người dùng.,"Tích hợp nước, hơi nước, ánh sáng và âm thanh vào một nền tảng cao cấp.","Độ phức tạp hệ thống, yêu cầu hạ tầng và chi phí lắp đặt cao.",Mature,MS-007;MS-018;MS-020,SRC-290
CT-018,Delta Faucet,MultiChoice Universal Valve,Shower,Thay đổi chức năng/phong cách sen mà không phải thay van âm tường,"Kiến trúc rough-in phổ dụng, hỗ trợ nhiều cấu hình trim/chức năng.",Thân van âm tường dùng chung tách phần rough-in khỏi cấu hình trim/chức năng được chọn.,Linh hoạt về nền tảng và giảm phải làm lại khi lựa chọn sản phẩm.,Cần kiến trúc trim tương thích; lợi ích đối với người dùng là gián tiếp.,Mature,MS-018;MS-022,SRC-338
CT-019,RainStick,RainStick Recirculating Shower,Shower,Giảm nước và năng lượng mà không rút ngắn thời gian tắm/giảm vùng phun,"Kiến trúc sen tuần hoàn kín, có thu gom, xử lý và tuần hoàn nước.","Nước đã sử dụng được thu gom, xử lý và tuần hoàn trong thời gian tắm, đồng thời bổ sung nước mới khi cần.",Chuyển kiến trúc từ sử dụng nước một lần sang tuần hoàn nước theo thời gian thực.,"Cần hệ thống thu gom, xử lý, đường ống và điều khiển riêng; phát sinh yêu cầu về bảo trì, vệ sinh và quy định.",Commercial / Mature,MS-017;MS-007,SRC-002
CT-020,RainStick,RainStick Real-time Water Cleaning,Shower,Tái sử dụng nước tắm mà vẫn duy trì chất lượng nước vệ sinh,Hệ xử lý nhiều cấp tích hợp trong vòng tuần hoàn.,Nước tuần hoàn đi qua hệ xử lý trước khi quay lại vòng tắm.,Kết hợp tuần hoàn nước và xử lý nước liên tục.,"Hiệu quả xử lý, tuổi thọ vật tư tiêu hao, kiểm soát biofilm và vệ sinh lâu dài cần được xác minh.",Commercial / Mature,MS-002;MS-017,SRC-002
CT-021,hansgrohe,AirPower,Shower,Tạo cảm giác tia đầy và mềm hơn với ít bắn nước,Kiến trúc cuốn khí vào dòng nước.,Không khí được hút vào và trộn với dòng nước trước khi phun ra.,Thay đổi thể tích giọt và cảm giác nước mà không đơn thuần tăng lưu lượng.,"Không tạo thêm áp lực cấp nước; cảm giác phụ thuộc vào áp lực, hình học và sở thích người dùng.",Mature,MS-001;MS-007;MS-017,SRC-339
CT-022,hansgrohe,EcoSmart / EcoSmart+ Precision Flow Limiting,Shower,Giảm lượng nước/năng lượng cho nước nóng nhưng vẫn giữ mức thoải mái chấp nhận được,Kiến trúc giới hạn lưu lượng theo áp lực kết hợp với thiết kế tia phun.,Áp lực thay đổi độ mở hiệu dụng để điều chỉnh lưu lượng thay vì chỉ dùng lỗ tiết lưu cố định.,Vừa giảm tiêu thụ tài nguyên vừa phản ứng theo điều kiện áp lực.,Vẫn giới hạn lượng nước thực tế; mức thoải mái phụ thuộc vào áp lực đủ lớn và thiết kế tia phun.,Mature,MS-001;MS-017,SRC-340
CT-023,hansgrohe,CoolContact,Shower,Giảm nguy cơ bỏng khi chạm vào bề mặt van nhiệt nóng,Kiến trúc cách nhiệt/làm mát.,Các chi tiết chứa nước nóng được cách nhiệt với bề mặt bên ngoài mà người dùng chạm vào.,Bổ sung an toàn tại bề mặt tiếp xúc bên cạnh chức năng kiểm soát nhiệt độ nước.,Không thay thế chức năng điều chỉnh nhiệt độ chống bỏng.,Mature,MS-004,SRC-341
CT-024,Delta Faucet,Temp2O Hydro-Powered Digital Temperature Display,Shower,Biết nhiệt độ nước trước khi chạm hoặc bước vào dòng nước,Màn hình hiển thị nhiệt độ kỹ thuật số chạy bằng thủy năng.,Dòng nước tạo năng lượng cho thiết bị điện tử để đo và hiển thị nhiệt độ.,Cung cấp phản hồi trực quan về nhiệt độ mà không cần nguồn điện riêng cho màn hình.,Làm tăng chi phí/độ phức tạp điện tử; chỉ cung cấp thông tin chứ không điều chỉnh nhiệt độ.,Mature,MS-004;MS-020,SRC-342
CT-025,Delta Faucet,MagnaTite Docking,Shower,Đặt và nhả tay sen ổn định bằng một tay,Cơ cấu dock tự căn chỉnh bằng nam châm vĩnh cửu.,Lực hút nam châm dẫn hướng và giữ tay sen vào vị trí.,"Dock tự căn chỉnh, dễ thao tác và có tiềm năng ứng dụng cho người gặp hạn chế về khả năng tiếp cận.",Hình học cơ khí và đường đi của dây sen giới hạn thiết kế; chủ yếu cải thiện giao diện sử dụng.,Mature,MS-005;MS-006;MS-019,SRC-343
CT-026,Delta Faucet,ProClean Spray,Shower,Dùng sen để vệ sinh bề mặt phòng tắm/bồn tắm,"Chế độ tia phun vệ sinh chuyên dụng, có tác động mạnh.",Hình học tia quạt rộng tập trung tạo dòng nước mạnh hơn để vệ sinh có mục tiêu.,Mở rộng chức năng của sen từ vệ sinh cơ thể sang vệ sinh môi trường tắm.,Chế độ tác động mạnh có phạm vi sử dụng chuyên biệt và không thay thế được mọi dụng cụ vệ sinh.,Mature,MS-015,SRC-344
CT-027,KOHLER,Katalyst Air-Induction,Shower,Tạo cảm giác tia đầy hơn ở lưu lượng được kiểm soát,Cảm ứng khí + thiết kế lại hình học đầu phun/kênh dẫn nước.,"Hình học đường nước và đầu phun đưa không khí vào dòng nước, đồng thời thay đổi đặc tính của giọt/dòng nước.",Tạo cảm giác tia đầy hơn ở lưu lượng được kiểm soát; kết hợp cảm ứng khí với hình học đầu phun.,Không tạo thêm áp lực cấp nước; cảm giác phụ thuộc vào áp lực và sở thích người dùng.,Mature,MS-001;MS-017;MS-007,SRC-345
CT-028,KOHLER,DTV+ Multisensory Shower Control,Shower,"Phối hợp nước, hơi nước, ánh sáng và âm nhạc thành một trải nghiệm cá nhân hóa",Kiến trúc màn hình cảm ứng/bộ điều khiển số cho nhiều hệ phụ của sen.,Bộ điều khiển ra lệnh cho van nước và các thành phần hơi nước/ánh sáng/âm nhạc được kết nối.,Mở rộng điều khiển sen số thành hệ thống wellness đa giác quan.,"Độ phức tạp hệ thống, yêu cầu hạ tầng và chi phí cao; chủ yếu tập trung ở ứng dụng cao cấp.",Mature,MS-007;MS-018;MS-020,SRC-346
CT-029,KOHLER,Real Rain,Shower,"Tạo trải nghiệm tắm rộng, giống mưa","Kiến trúc sen mưa trên cao dạng mở, kích thước lớn.",Bề mặt trên cao lớn phân phối nước qua cấu hình đầu ra chuyên dụng cho tia mưa.,Thay đổi đặc tính vật lý và tính liên tục về thị giác của tia mưa thay vì chỉ bổ sung điều khiển số.,"Kích thước, chi phí và yêu cầu lắp đặt cao; trải nghiệm vẫn phụ thuộc vào áp lực/lưu lượng.",Mature,MS-007;MS-013,SRC-347
CT-030,KOHLER,Anthem EvoCycle,Shower,Giảm lượng nước sử dụng bằng cách tái sử dụng nước tắm nhưng vẫn giữ trải nghiệm tắm,Hệ sen thông minh tuần hoàn kết hợp lọc và bổ sung nước mới liên tục.,"Nước được thu gom, lọc và tuần hoàn trong khi một lượng nước mới được bổ sung có kiểm soát.",Là giải pháp kiến trúc thay thế cho việc chỉ giảm lưu lượng; duy trì áp lực/vùng phun trong khi giảm lượng nước mới tiêu thụ.,"Cần hệ thống thu gom, lọc, bơm, điều khiển và vệ sinh; độ phức tạp khi lắp đặt và bảo trì cao.",Commercial / Emerging,MS-017;MS-002;MS-007,SRC-120
CT-031,TOTO,Clean Synergy / EWATER+,Bathroom Fittings / Toilet,Giảm cáu bẩn và công vệ sinh bằng cơ chế tự làm sạch dùng nước,Điện phân nước máy theo nhu cầu để tạo EWATER+ chứa axit hypochlorous.,"Nước máy chứa ion chloride được điện phân, sau đó nước tạo ra được tự động phun lên các bề mặt mục tiêu để hạn chế tích tụ.","Dùng nước điện phân được tạo ra ngay trong hệ thống làm cơ chế tự làm sạch, thay vì chỉ dựa vào vệ sinh thủ công/hóa chất.",Chủ yếu đã được chứng minh trong các ứng dụng toilet/WASHLET; cần phần cứng điện phân và thành phần nước phù hợp; việc chuyển sang sen/vòi cần được xác minh.,Mature,MS-008;MS-015,SRC-014
