Supplier Tech ID,Supplier / Company,Technology / Component,Capability / Principle,Current Application,Maturity,Fitting Applicability,Key Constraints,Source ID
ST-001,Runner,Hydraulic switch shower combo,Hydraulic switching architecture,Shower combo,Commercial / supplier-proposed,High,Pressure threshold and flow-loss tuning,SRC-350
ST-002,Runner,Na-Micro spray,Micro-scale spray generation,Showerhead,Commercial / supplier-proposed,High,Must validate spray feel and fouling,SRC-350
ST-003,Runner,3F spray head / multi-spray,Multi-mode spray architecture,Showerhead,Commercial / supplier-proposed,High,Mode complexity and flow balance,SRC-350
ST-004,Runner,Pull-switch self-reset spray head,Pull-switch spray selection with reset,Showerhead,Commercial / supplier-proposed,High,Mechanical durability and user effort,SRC-350
ST-005,Runner,Low-power laser sensor faucet,Low-power optical sensing for faucet activation,Faucet,Commercial / supplier-proposed,Medium,Sensor robustness and contamination,SRC-350
ST-006,Runner,KDF filter shower set,KDF media filtration,Shower filtration,Commercial,High,Target contaminant removal and pressure loss,SRC-350
ST-007,Runner,Quick drip stop,Quick shutoff / drip-stop mechanism,Faucet / shower,Commercial / supplier-proposed,High,Seal life and transient response,SRC-350
ST-008,Runner,Interchangeable shower module/outlet,Modular outlet interface,Shower,Commercial / supplier-proposed,High,Leak tightness and interface standardization,SRC-350
ST-009,Runner,Concealed cartridge technology,Concealed cartridge architecture,Faucet / shower,Commercial,High,Serviceability and installation,SRC-350
ST-010,Runner,PPA plastic waterway platform,PPA polymer waterway architecture,Faucet / shower,Commercial / supplier-proposed,High,Temperature, chemical resistance, certification,SRC-350
ST-011,Runner,Hygieia 2-in-1 filtered + normal water faucet,Integrated filtration plus solenoid switching,Faucet,Commercial / supplier-proposed,High,Pressure loss, hygiene, cartridge service,SRC-351
ST-012,Lota,Integrated shower filtration,Integrated shower filter architecture,Shower,Commercial / supplier-proposed,High,Pressure loss, replacement and size,SRC-352
ST-013,Lota,Magnetic docking spray head,Magnetic docking interface,Hand shower,Commercial,High,Magnet cost, docking reliability,SRC-352
ST-014,Lota,Face-U rotatable multifunction basin mixer,Rotatable multifunction outlet/mixer,Basin faucet,Commercial / supplier-proposed,High,Sealing and user ergonomics,SRC-352
ST-015,Lota,Clean Jet,Self-cleaning / cleaning-oriented jet architecture,Shower / faucet,Commercial / supplier-proposed,High,Validation of cleaning effect,SRC-352
ST-016,Lota,Pressure sensor nozzle,Pressure sensing / response at nozzle,Showerhead,Commercial / supplier-proposed,High,Sensor integration and fouling,SRC-352
ST-017,Lota,Burst Shower Spray,High-impact burst spray architecture,Showerhead,Commercial / supplier-proposed,High,Perceived comfort and flow demand,SRC-352
ST-018,Lota,SHUP modular non-metallic waterway,Modular non-metallic waterway platform,Shower / faucet,Commercial / supplier-proposed,High,Material certification and durability,SRC-352
ST-019,Sedal,COLD technology cold-start,Cold-start water architecture,Faucet,Commercial,High,Temperature transition and user expectation,SRC-353
