Batch_ID,Candidate_ID,Date_First_Found,Discovery_Lane,Problem_Opportunity,Existing_Solution_or_Source,DELTA_or_Transferable_Capability,Proposed_Product_Response,User_Benefit,Technology_Mechanism,Fitting_Application,Evidence_Source,Evidence_Status,Main_Uncertainty,Discovery_Disposition,Recurrence,Suggested_Review_Prompt
CLAW-20260920_20260922,CLAW-20260920-C01,2026-09-20,"Market Pull + Tech Push / Recombination","Magnetic handshower docking is convenient but repeated docking, impact and hose loads can damage structural or wetted components.","Moen Magnetix; Delta SureDock; CT-013; ST-017; TR-050","Separate magnetic alignment/retention from the primary structural load path and control docking impact/load transfer.","Mechanically captured magnetic dock with controlled impact stop/load spreader and replaceable wear element.","Easy one-handed docking with improved durability and leakage resistance.","Magnetic alignment + mechanical load path decoupling","Handshower dock / wall supply interface","2026-09-20 staging; Moen/Delta product evidence","EVIDENCED problem and precedent; PROPOSED architecture","Exact competitor failure mode and required load path remain unverified; prototype testing required.",KEEP,NEW,IR-01 → IR-02 → RS-03/RS-04
CLAW-20260920_20260922,CLAW-20260920-C02,2026-09-20,"Market Pull + Tech Push / Recombination","Recurring mineral clogging creates repeated manual cleaning burden and spray degradation.","Rub-clean nozzles; removable spray faces; industrial fluid-driven rotating cleaning nozzles","Use domestic shower flow to create controlled movement that mechanically disrupts deposits or promotes maintenance without external power.","Compact rotating/oscillating maintenance element integrated behind or within the spray face.","Potentially lower manual cleaning frequency and more stable spray performance.","Fluid reaction/turbine torque or hydraulic oscillation","Spray face / handshower internal waterway","2026-09-20 staging; Spraying Systems TankJet D41800E; CYCO 36500","EVIDENCED industrial mechanism; UNKNOWN shower transfer","Domestic pressure/flow, pressure loss, scale, noise, leakage and durability.",WATCH,NEW,IR-01 → IR-02 → RS-03/RS-04/RS-06
CLAW-20260920_20260922,CLAW-20260920-C03,2026-09-20,"Tech Push","Residual water on exposed spray surfaces can dry and leave mineral deposits.","Rub-clean nozzles; removable spray faces; TR-005 directional wettability/capillary surfaces","Use engineered wettability/topography to move residual water away from the exposed face toward a controlled drain path.","Patterned spray-face surface plus hidden drainage channels.","Less standing water and potentially slower visible scale formation.","Directional capillary/wettability gradient","Exposed spray face / rainhead surface","2026-09-20 staging; ACS Langmuir anisotropic wetting evidence; TR-005","EVIDENCED principle; PROPOSED shower application","Soap, cleaners, mineral deposits, finish wear and manufacturing tolerances may degrade the effect.",WATCH,NEW,IR-01 → RS-03/RS-06
CLAW-20260920_20260922,CLAW-20260920-C04,2026-09-20,"Tech Push","Persistent mineral fouling may remain where passive nozzle cleaning is insufficient.","Manual descaling; rub-clean nozzles; industrial ultrasonic fouling control; TR-046","Use localized ultrasonic excitation as an automatic anti-fouling mechanism.","Compact piezoelectric element coupled to the spray module and activated intermittently.","Potential reduction of deposit adhesion and maintenance frequency.","Piezoelectric acoustic excitation","Spray face / waterway module","2026-09-20 staging; IEEE/industrial ultrasonic sources; TR-046","EVIDENCED technology; UNKNOWN shower application","Energy, acoustic coupling, potable-water compatibility, noise, waterproofing, cost and actual scale effectiveness.",WATCH,NEW,IR-01 → RS-03/RS-04/RS-06
CLAW-20260920_20260922,CLAW-20260921-C01,2026-09-21,"Market Pull + Tech Push / Recombination","Handshower hoses can twist, protrude into the user's body path or return to an unwanted side position.","Swivel hose connectors; flexible hoses; conventional docks; GROHE Movario; TR-017","Combine torsion decoupling with a passive hose-routing/parking geometry that biases the hose toward a controlled neutral path.","Free-rotating hose interface plus compliant or guided parking channel near the wall.","Less hose interference and more predictable handshower handling.","Swivel/torsion decoupling + passive self-centering/guided routing","Handshower dock / wall connection / hose interface","2026-09-21 staging; GROHE product evidence; TR-017","EVIDENCED user signal and swivel precedent; PROPOSED combined architecture","Performance across hose stiffness, length, installation height and bathroom geometry.",KEEP,VARIANT,IR-01 → IR-02 → RS-03/RS-04
CLAW-20260920_20260922,CLAW-20260921-C02,2026-09-21,"Tech Push","Inlet screens/filters can accumulate debris and increase pressure loss or reduce flow.","Replaceable shower filters/screens; GEFA and Puretec automatic backflush filters","Use pressure differential from the fixture itself to trigger a short hydraulic cleaning event without routine manual screen removal.","Compact screen module with differential-pressure trigger and controlled reverse-flow discharge path.","Longer stable flow and less manual screen maintenance.","Pressure-differential threshold + hydraulic bypass/backflush","Handshower inlet / showerhead filter module / serviceable screen","2026-09-21 staging; GEFA M1XX; Puretec IAB","EVIDENCED commercial mechanism; UNKNOWN shower-scale transfer","Available differential pressure, backflow protection, potable-water compliance, sealing, noise and package size.",WATCH,NEW,IR-01 → RS-03/RS-04/RS-06
CLAW-20260920_20260922,CLAW-20260921-C03,2026-09-21,"Tech Push","Water-powered fixture intelligence can power sensing/indicators but repeating the concept does not create a new user outcome.","Zurn Hydro-X; TOTO EcoPower; Hello Klean Shower Head+; TR-006","Water-flow energy harvesting for local fixture electronics.","Another hydropowered intelligence/display implementation.","No distinct benefit established beyond existing precedent.","Micro-turbine energy harvesting","Fixture electronics / shower module","2026-09-21 staging; manufacturer/product evidence; TR-006","EVIDENCED and commercially demonstrated; BASELINE","No material new outcome or architecture identified.",DROP,BASELINE,IR-01 only if materially reshaped
CLAW-20260920_20260922,CLAW-20260922-C01,2026-09-22,"Market Pull + Tech Push / Recombination","Shower selectors/diverters can be difficult to operate with wet or soapy hands and may require excessive force.","Rotary knobs; push/pull diverters; spray-mode selectors; TR-004 bistable compliant valves","Provide a broad low-grip input coupled to a bistable/compliant force-transmission element that snaps between defined states.","Paddle/rocker or broad selector with compliant snap-through mechanism and separate low-friction valve interface.","Lower hand force, easier wet-hand operation and clearer tactile confirmation.","Compliant bistability + force transmission / low-friction selector interface","Shower diverter / spray selector","2026-09-22 staging; Kohler reviews; user reports; TR-004; compliant mechanism research","EVIDENCED user signal and enabling mechanism; PROPOSED combined architecture","Long-term hot-water/chemical/cycle durability and whether benefit exceeds a conventional large lever.",KEEP,NEW,IR-01 → IR-02 → RS-03/RS-04/RS-06
CLAW-20260920_20260922,CLAW-20260922-C02,2026-09-22,"Market Pull + Tech Push / Recombination","Selector effort can increase when water pressure acts directly on the valve element.","Industrial low-torque selector valves; pressure-balanced rotary control valves","Use pressure-balanced or shear-seal geometry so line pressure contributes less to user actuation torque.","Compact shower selector cartridge with pressure-balanced sealing surfaces and low-friction rotary interface.","More predictable selector effort across domestic pressure conditions.","Pressure-force balancing + low-friction rotary seal","Spray selector / diverter cartridge","2026-09-22 staging; Parker Lo-Torq; Fisher Vee-Ball; shower diverter force-reduction patent","EVIDENCED industrial mechanism; UNKNOWN shower transfer","Package, pressure loss, leakage after wear, potable-water materials and meaningful torque reduction at domestic pressure.",WATCH,VARIANT,IR-01 → RS-03/RS-04/RS-06
CLAW-20260920_20260922,CLAW-20260922-C03,2026-09-22,"Tech Push","Residual water can remain in showerheads and discharge later, causing dripping or mineral buildup.","Self-draining/vacuum-breaking showerhead patents; 2026-09-20 C-03 Passive Dry-Drain Spray Face","Admit air and/or open a drain path when flow stops so trapped water exits rapidly.","Vacuum-break/self-drain module in the showerhead body.","Reduced delayed dripping and water retention.","Gravity drainage + vacuum break / air admission","Showerhead body / waterway","2026-09-22 staging; US20170341091A1; US20070194153A1; CN118635016B","EVIDENCED prior art; no new architecture established","No materially different outcome or architecture from existing discovery/prior art.",DROP,DUPLICATE_OF_20260920_C03,IR-01 only if materially reshaped
