Tech ID,Technology,Source Industry,Maturity,Claw Role,Discovery Class,Nguyên lý / Cơ chế,Ứng dụng / Giá trị tiềm năng,Supplier Tech IDs,Competitor Tech IDs,Market Signal IDs,Source IDs
TR-001,Pressure-Compensating Self-Flushing Emitters,Irrigation,Commercial Mature,ACTIVE ENABLER,ACTIVE ENABLER,Màng đàn hồi tự thay đổi sức cản thủy lực theo áp suất; hình học emitter còn hỗ trợ tự xả cặn khi điều kiện dòng thay đổi.,Tham chiếu cho hệ sen cần giữ lưu lượng ổn định khi áp suất dao động và hỗ trợ tự rửa lỗ phun. Không coi việc sao chép emitter tưới tiêu là điểm mới.,ST-020;ST-034,CT-001,MS-001;MS-017,SRC-021;SRC-022
TR-002,Pilot-Operated Diaphragm Valves,Industrial Valves / Dust Collection,Commercial Mature,WATCH,TRANSFER SIGNAL,Dòng hoặc áp pilot nhỏ tác động lên màng để điều khiển cửa dòng chính có lưu lượng lớn.,"Có thể dùng cho diverter hoặc chia vùng cần lực tác động nhỏ. Cần kiểm tra độ nhạy với cặn, độ trễ chuyển trạng thái và tổn thất áp suất trong nước sinh hoạt.",,,,SRC-048
TR-003,Fluidic Diodes / Tesla / Vortex Valves,Nuclear / Microfluidics,Mature Principle / Emerging Compact Designs,WATCH,WATCH,Hình học bất đối xứng hoặc dòng xoáy tạo sức cản khác nhau theo hai chiều dòng mà không cần chi tiết chuyển động.,Có thể tạo xu hướng dòng theo một chiều cho xả hoặc chuyển dòng thụ động. Hiện khả năng áp dụng vào sen vòi còn yếu; chỉ ưu tiên khi bài toán thực sự cần logic dòng chảy thụ động.,,,,SRC-023;SRC-024
TR-004,Bistable Compliant Valves,Soft Robotics / Microfluidics,Research / Early Application,WATCH,TRANSFER SIGNAL,Màng hoặc phần tử đàn hồi có thể bật qua lại giữa hai trạng thái ổn định; ngưỡng chuyển được điều chỉnh bằng hình học và vật liệu.,"Có thể dùng cho van hai trạng thái giữ vị trí mà không cần cấp năng lượng liên tục, hoặc tích hợp flexure để dẫn hướng, hồi vị và tạo nấc. Cần chứng minh lợi ích về người dùng, kích thước hoặc chi phí.",,,,SRC-041;SRC-042;SRC-328;SRC-329
TR-005,Directional Wettability / Capillary Surfaces,Fog Harvesting / Biomimetics,Research to Scalable Process,ACTIVE ENABLER,TRANSFER SIGNAL,Chênh lệch năng lượng bề mặt kết hợp lực mao dẫn có thể dẫn giọt nước theo hướng xác định mà không cần bơm.,"Có thể dùng cho mặt sen tự thoát nước hoặc dẫn nước khỏi vùng không mong muốn. Điểm cần xác nhận chính là độ bền khi tiếp xúc xà phòng, chất tẩy rửa và cặn khoáng.",,,,SRC-035;SRC-036
TR-006,Flow Energy Harvesting,Pipeline / Shower Metering / Marine Sensing,Commercial Mature in Shower Metering / Research Elsewhere,WATCH,BASELINE,"Vi tua-bin hoặc bộ phát điện được dẫn động bởi dòng nước để tạo điện cho cảm biến, bộ nhớ hoặc hiển thị cục bộ.",Nguyên lý này đã được dùng trong đồng hồ nước cho shower. Chỉ đáng xem lại nếu kiến trúc mới giảm lưu lượng khởi động hoặc tổn thất áp suất đáng kể.,,,,SRC-028;SRC-187;SRC-188;SRC-189;SRC-282;SRC-287
TR-007,Passive SMA Thermal Valves,Thermal Management,Mature Principle,WATCH,TRANSFER SIGNAL,Hợp kim nhớ hình (SMA) biến pha theo nhiệt độ và tạo chuyển vị/lực để thay đổi tiết diện hoặc vị trí van.,"Có thể dùng cho phản ứng nhiệt thụ động trong sen vòi. Cần kiểm tra ngưỡng nhiệt, lực tác động, độ bền chu kỳ và khả năng làm việc lâu dài trong nước nóng.",,,,SRC-039;SRC-040
TR-008,Compact Thermal Buffer / Startup Heat Exchange,DHW / Building Energy,Pilot / Commercial Adjacent,WATCH,WATCH,Vật liệu chuyển pha (PCM) hấp thụ và nhả nhiệt ẩn để làm dịu biến động nhiệt trong thời gian ngắn.,"Có thể hỗ trợ khởi động ấm hoặc đệm nhiệt, nhưng giải pháp thường cần thể tích và diện tích trao đổi nhiệt đáng kể nên hiện phù hợp cấp hệ thống hơn sen vòi nhỏ gọn.",,,,SRC-037;SRC-038;SRC-073;SRC-074;SRC-075;SRC-015
TR-009,Selective / Variable Spray-Zone Routing,Spray Systems / Showerheads,Commercial / Patent Crowded,ACTIVE ENABLER,BASELINE,Van hoặc manifold chọn nhóm lỗ phun đang được cấp nước để thay đổi vùng bao phủ và mức tập trung tia.,Đây là giải pháp nền cho chia vùng phun và chế độ xả tập trung. Việc chỉ chọn nhóm lỗ phun tự thân không còn là khoảng trống công nghệ.,ST-003;ST-004;ST-021,CT-010,MS-001;MS-007;MS-013,SRC-033;SRC-049
TR-010,Point-of-Use Shower Filtration Cartridges / Architectures,Water Treatment / Bathroom,Commercial Mature / Direct Precedent,BASELINE,BASELINE,"Lõi lọc thay thế được đặt trong đầu sen hoặc mô-đun cố định trên đường nước/tường; hiệu quả phụ thuộc vật liệu lọc, chất cần xử lý và mức tăng tổn thất áp suất khi lõi gần hết tuổi thọ.","Đây là giải pháp nền cho sen có lọc. Khác biệt phải đến từ hiệu quả xử lý được chứng minh hoặc kiến trúc bảo trì mới, không chỉ từ việc đổi vị trí lõi lọc.",ST-006;ST-016,,MS-002,SRC-050;SRC-196;SRC-197;SRC-198;SRC-199;SRC-200;SRC-201;SRC-202;SRC-203;SRC-204;SRC-283;SRC-284;SRC-069;SRC-070
TR-011,Compact Hydrocyclone / Swirl Pre-Separation,Water Treatment / Process Separation,Mature Industrial / Miniaturization Research,WATCH,WATCH,Dòng xoáy tạo lực ly tâm/quán tính để tách các hạt có khối lượng riêng và quán tính đủ lớn khỏi dòng nước chính.,"Có thể dùng để tách cặn thô trước bộ lọc, nhưng cần đủ áp suất, lưu tốc và thể tích. Khả năng áp dụng ở kích thước sen vòi hiện còn yếu nên giữ WATCH.",,,,SRC-051
TR-012,Thermostatic Bypass / Temperature-Triggered Routing,DHW Recirculation / Plumbing,Commercial Mature / Direct Prior-Art Crowded,BASELINE,BASELINE,Phần tử wax hoặc thermostatic tự chuyển đường hoặc hạn chế dòng nước theo nhiệt độ.,"Đây là giải pháp nền cho chức năng chờ nước ấm hoặc chuyển hướng nước lạnh ban đầu. Chuyển dòng tự động theo nhiệt độ đã có nhiều sản phẩm/bằng sáng chế, nên chủ yếu dùng để đối chuẩn hoặc làm nền cho kiến trúc khác.",ST-014;ST-027;ST-029,CT-002,MS-004;MS-012,SRC-052;SRC-205;SRC-206;SRC-207;SRC-208;SRC-209;SRC-210;SRC-211;SRC-212;SRC-213;SRC-214;SRC-215
TR-013,Passive Anti-Scald Fail-Safe Mechanisms,Thermostatic Mixing / Safety Valves,Commercial Mature Principle,BASELINE,BASELINE,Phần tử thermostatic hoặc màng/pít-tông cân bằng áp tự giảm hay đóng dòng nóng khi nhiệt độ hoặc áp suất ra ngoài vùng an toàn.,Đây là giải pháp nền cho chống bỏng và fail-safe. Không dùng việc thêm một lớp giới hạn nhiệt tương tự làm luận điểm mới nếu không có lợi ích khác rõ ràng.,ST-014;ST-027;ST-029;ST-048,CT-002,MS-004,SRC-053
TR-014,Adjustable Shower Arm / Rail & Discrete Height Mechanisms,Bathroom Hardware / Positioning Mechanisms,Commercial Mature / Patent Crowded,BASELINE,BASELINE,"Khớp xoay, thanh trượt, ống lồng, cơ cấu đối trọng hoặc khóa ma sát/bánh răng giúp thay đổi vị trí đầu ra; một số cấu trúc vẫn cho nước đi qua khớp chuyển động.",Đây là giải pháp nền cho điều chỉnh chiều cao/vị trí. Ý tưởng mới phải tạo thêm khả năng hoặc lợi ích vượt lên trên việc điều chỉnh vị trí thông thường.,ST-036,,MS-006,SRC-054;SRC-056;SRC-127;SRC-128;SRC-129;SRC-130;SRC-131;SRC-132;SRC-133;SRC-283;SRC-287;SRC-083;SRC-084;SRC-085;SRC-086
TR-015,Compact Integrated Water Boosters,Domestic Water Supply / Pumps,Commercial Mature at System Level,WATCH,BASELINE,"Bơm điện kết hợp cảm biến/điều khiển, van một chiều và đường đi tắt để bổ sung năng lượng thủy lực khi nguồn nước yếu.","Đây là giải pháp nền cấp hệ thống cho tăng áp thực sự. Tiếng ồn, nguồn điện, kích thước và chi phí khiến việc tích hợp trực tiếp vào sen vòi không phải ưu tiên chính.",,,,SRC-057;SRC-282
TR-016,Double-Shutoff / Dry-Break Service Couplings,Liquid Cooling / Fluid Transfer,Commercial Mature / Transfer Proposed,ROUTED,WATCH,Hai van chặn tự đóng ở hai phía của khớp nối trước khi tách; bề mặt ghép phẳng giúp giảm lượng nước giữ lại và không khí lọt vào.,"Hữu ích cho mô-đun bảo trì ít tràn nước, nhưng giá trị chủ yếu thuộc bảo trì/lắp đặt. Thông thường không phải giá trị TD-S chính.",,,,SRC-058
TR-017,Self-Centring Blind-Mate Fluid Couplings,Liquid Cooling / Aerospace,Commercial Emerging / Patent Crowded,ROUTED,WATCH,Khớp nối dạng nổi hoặc cầu cho phép tự bù sai lệch theo phương ngang/góc trong khi gioăng mặt đầu vẫn duy trì kết nối kín nước.,"Hữu ích để bù sai lệch khi lắp đặt, nhưng giá trị chính thuộc lắp đặt/bảo trì. Chỉ ưu tiên khi bài toán lắp đặt được chọn làm hướng nghiên cứu.",,,,SRC-063;SRC-064
TR-018,Passive Hydraulic / Fluidic Oscillation,Bathroom / Fluidic Actuation,Proven Principle / Patent Crowded,ACTIVE ENABLER,BASELINE,Áp lực nước kích hoạt màng đàn hồi hoặc khoang cộng hưởng dòng để tạo tia dao động/nhịp mà không cần motor hoặc tua-bin ở đầu ra.,"Đây là giải pháp nền cho tia massage hoặc quét trong shower. Ứng dụng mới phải tạo kết quả sử dụng khác rõ ràng, không chỉ lặp lại cơ chế dao động.",,,,SRC-016;SRC-066;SRC-235;SRC-284
TR-019,Venturi Air-Entrainment Spray,Bathroom / Faucet Aeration,Commercial Mature / Patent Crowded,ACTIVE ENABLER,BASELINE,Dòng nước tốc độ cao đi qua vùng co làm giảm áp suất tĩnh và hút không khí vào dòng nước theo hiệu ứng Venturi.,Đây là giải pháp thương mại nền cho tia có trộn khí. Không dùng riêng cơ chế Venturi làm điểm mới công nghệ.,,CT-009,MS-001;MS-017,SRC-067
TR-020,Dual-Resistance Spray Networks,Spray Systems / Fluid Distribution,Mature Principle / Target Transfer Proposed,ACTIVE ENABLER,ACTIVE ENABLER,Các nhánh đầu ra song song được thiết kế với sức cản thủy lực khác nhau để phân bổ lực tia và vùng phủ khác nhau theo áp suất nguồn.,Có thể dùng để phân phối năng lượng tia thụ động giữa vùng xả mạnh và vùng bao phủ. Cần chứng minh hiệu quả thực tế trong giới hạn lưu lượng/áp suất của shower.,ST-034,,,SRC-065;SRC-068
TR-021,Manual / Transient Reverse-Flow Backwashing,Portable Water Filtration,Commercial Mature Principle / Fitting Transfer Proposed,ROUTED,WATCH,Người dùng tạo dòng rửa ngược bằng buồng bóp hoặc pít-tông để đẩy cặn ra khỏi vật liệu/lưới lọc.,"Có thể phục hồi lưu lượng bộ lọc mà không cần bơm, nhưng giá trị chủ yếu thuộc bảo trì và kiến trúc hiện chưa đủ mạnh để trở thành hướng Claw chính.",ST-037,,MS-015;MS-002,SRC-072;SRC-025;SRC-034
TR-022,Child-Resistant Dual-Action Controls / Human-Factor Interlocks,Packaging / Human Factors,Commercial Mature Principle / Shower Transfer + Validation Needed,ACTIVE ENABLER,BASELINE,"Cơ cấu khóa hai thao tác như ấn–xoay, bóp–xoay hoặc chuyển động đa trục yêu cầu người dùng thực hiện hành động phối hợp trước khi vượt giới hạn điều khiển.","Đây là giải pháp nền về an toàn trẻ em. nghiên cứu ban đầu cho thấy cơ cấu hai thao tác thông thường đã có nhiều giải pháp gần, nên không còn khoảng trống rõ nếu không có khác biệt mới.",,,,SRC-076;SRC-134;SRC-135;SRC-136;SRC-137;SRC-138;SRC-139;SRC-140;SRC-141;SRC-142;SRC-143;SRC-144;SRC-145;SRC-146;SRC-147;SRC-148;SRC-149
TR-023,Thermostatic Diversion + Sequential Mixing,Thermal Valves / Plumbing,Commercial Mature / Prior-Art Crowded,BASELINE,BASELINE,"Van đáp ứng theo nhiệt độ để chuyển đường nước, kết hợp hình học cam/cửa van tạo trình tự mở nước lạnh trước rồi mới mở nước nóng.",Đây là giải pháp nền cho kiểm soát nước lúc khởi động hoặc khi quá nhiệt. Trình tự trộn nhiệt cơ bản đã có nhiều bằng sáng chế/giải pháp trước đó và không còn là khoảng trống rõ.,ST-014;ST-027,CT-002,MS-004;MS-012,SRC-077;SRC-078
TR-024,Compact Body-Spray + Positionable Fluid Outlet,Bathroom / Machine Tool Positioning,Commercial Mature / Direct Product + Patent Baseline,BASELINE,BASELINE,"Đầu phun dùng khớp cầu, khớp xoay kín nước hoặc cơ cấu dao động liên kết để thay đổi hướng tia hoặc vùng quét khi có dòng nước.",Đây là giải pháp nền đã có trên thị trường và bằng sáng chế cho việc hướng tia vào cơ thể. Xoay 360° hoặc dao động tự thân không còn là khoảng trống công nghệ.,,CT-015,MS-007,SRC-079;SRC-080;SRC-081;SRC-082;SRC-225;SRC-226;SRC-227;SRC-228
TR-025,Fluidic Jet Steering / Spray Trajectory Control,Fluidics / Spray Systems,Commercial Adjacent / Patent Crowded,ACTIVE ENABLER,BASELINE,"Chọn nhóm lỗ phun, dùng góc phun cố định hoặc phần tử fluidic để thay đổi vị trí rơi/vùng phủ của tia mà không phải di chuyển toàn bộ bát sen.",Đây là giải pháp nền cho điều khiển hướng và vùng phun. Kết quả từ N71 cho thấy chỉ thay đổi hình học hoặc chế độ phun chưa đủ để trở thành ý tưởng công nghệ mạnh.,ST-003;ST-019;ST-021,CT-010,MS-007;MS-013,SRC-068;SRC-101;SRC-102;SRC-150;SRC-151;SRC-152;SRC-153;SRC-154;SRC-155;SRC-238;SRC-239
TR-026,Acoustic-Optimized Shower Spray / Noise Control,Bathroom Acoustics / Spray Atomization,Commercial Attribute + Patent,ACTIVE ENABLER,BASELINE,Hình học lỗ phun/giọt nước và vật liệu giảm chấn trên đường nước ảnh hưởng đến tiếng ồn truyền qua không khí và kết cấu.,Tia sen ít ồn đã là thuộc tính thương mại. Chỉ xem lại khi có công nghệ ngoài ngành tạo khả năng giảm ồn mới hoặc trải nghiệm người dùng khác rõ ràng.,,,,SRC-098;SRC-099;SRC-100
TR-027,Self-Healing / In-Mold Clearcoat Surfaces,Automotive / Polymer Coatings / Sanitaryware,Commercial Adjacent + Sanitary Prior Art,ACTIVE ENABLER,TRANSFER SIGNAL,Mạng polymer động hoặc cơ chế chảy nhớt có thể làm vết xước nhỏ khép lại; lớp phủ có thể được tạo trong khuôn để giảm công đoạn phủ sau ép.,"Có thể dùng cho bề mặt premium tự phục hồi. Cần xác nhận điều kiện kích hoạt, độ bền với chất tẩy/nước cứng, an toàn và lợi ích thực so với lớp phủ chống xước thông thường.",,,,SRC-106;SRC-107;SRC-108;SRC-109
TR-028,Bottle-Free Wash / Additive Infusion,Accessibility Care / Wellness Shower,Commercial Mature / Direct Precedent,ACTIVE ENABLER,BASELINE,Nhánh pha phụ gia hoặc khoang nạp lại đưa dầu gội/sữa tắm vào dòng nước; một số hệ còn trộn thêm không khí và hóa chất chuyên dụng để tạo bọt.,"Tắm không cần cầm chai hoặc pha dung dịch vào dòng nước đã có sản phẩm trực tiếp. Chỉ dùng như nền công nghệ, không coi bản thân chức năng pha dung dịch là điểm mới.",,,,SRC-113;SRC-115;SRC-156;SRC-157;SRC-158;SRC-159;SRC-160;SRC-161;SRC-162;SRC-163;SRC-164;SRC-165;SRC-166;SRC-167;SRC-168;SRC-169;SRC-170;SRC-171;SRC-172;SRC-283;SRC-284
TR-029,Water-Use Feedback / Nudge Interface,Smart Shower / Behavioral Sustainability,Commercial Mature / Direct Precedent,BASELINE,BASELINE,Cảm biến lưu lượng kết hợp phép cộng dồn thể tích và chỉ báo màu/số tại chỗ; nguồn điện có thể được tạo từ chính dòng nước.,"Phản hồi lượng nước đã dùng là giải pháp nền khá phổ biến. Đồng hồ, vòng màu hoặc ngưỡng cảnh báo đơn giản không còn là hướng đổi mới chính nếu không tạo thêm hành vi hoặc lợi ích mới.",ST-043,CT-012;CT-015,MS-020;MS-017,SRC-118;SRC-119;SRC-120;SRC-187;SRC-188;SRC-189;SRC-190;SRC-191;SRC-192;SRC-193;SRC-194;SRC-195
TR-030,Waste-Water Heat Recovery Integration,Building Energy / Shower Systems,Commercial Emerging,BASELINE,BASELINE,Bộ trao đổi nhiệt thu nhiệt từ nước thải sau tắm để làm nóng sơ bộ nước lạnh cấp vào mà không trộn hai dòng nước.,Đây là giải pháp nền cấp hệ thống cho tiết kiệm năng lượng. Cơ hội ở cấp thương hiệu sen vòi chỉ rõ khi có giao diện hoặc kiến trúc tích hợp mới.,,,MS-017,SRC-121;SRC-122;SRC-123
