ID,Status,Name,Purpose,Prompt
"IR-01","CURRENT","Idea Review","Run the core evidence-based review of an existing R&D idea.","Review the idea against current Knowledge Sheet context and available evidence. Answer: Is the evidence sufficient? Does the technology exist? Is the mechanism reasonable? Is there competitor adoption or a relevant precedent? Is there supplier/technology support? Is there a Knowledge Sheet gap? What research is needed? Does the idea need modification? Separate verified facts, inference, assumptions, unknowns and proposed changes."
"IR-02","CURRENT","Technology Existence Check","Verify whether the technology or architecture in an idea actually exists.","Check manufacturer, supplier, technical and commercial evidence. Distinguish direct evidence that the technology exists from inferred or adjacent precedents. State limitations and remaining unknowns."
"IR-03","CURRENT","Mechanism Check","Check whether the proposed mechanism is technically reasonable.","Review the physical principle, mechanism, flow path or architecture using available technical evidence. Separate supported mechanism from inference and identify the key unknowns or verification needs."
"IR-04","CURRENT","Competitor Precedent Check","Check whether competitors or commercial precedents have adopted the relevant technology.","Identify direct, alternative and adjacent precedents. Use product evidence for existence/advertised function and technical evidence where internal mechanism matters. State what is and is not demonstrated."
"IR-05","CURRENT","Supplier Technology Check","Check whether suppliers or technologies exist to support implementation.","Identify relevant supplier/component/process technology evidence and practical sourcing constraints. Do not infer a specific grade, capability or integration level without evidence."
"IR-06","CURRENT","Knowledge Gap Check","Identify gaps between the idea and the current Knowledge Sheet.","Compare the idea with relevant Knowledge Sheet records. State missing knowledge, why it matters, whether it is reusable, and whether a Knowledge Candidate should be proposed."
"IR-07","CURRENT","Research Request","Turn unresolved Idea Review gaps into a targeted maintainer research request.","State objective, decision, current evidence, exact gap, requested research scope and stop condition. Keep research limited to what can change the idea decision."
"IR-08","CURRENT","Idea Modification","Modify an existing idea using verified evidence and review findings.","Preserve the core intent where possible, but change mechanism, technology, application, architecture or assumptions when evidence supports the change. Explain the evidence basis for each material modification."
"IR-09","CURRENT","Idea Synthesis","Produce a concise reviewed version of an idea for the next decision.","Synthesize evidence, technology status, mechanism assessment, competitor/supplier support, Knowledge Sheet gaps, research needs, proposed modifications and next action. Keep verified findings separate from inference and proposal."
"IR-10","CURRENT","Knowledge Candidate","Identify reusable knowledge discovered during Idea Review.","Extract only durable findings useful beyond the current idea. Include evidence, relationship to existing records, reuse reason, and verification needed. Human review is required before Knowledge Sheet write-back."
