Supplier Tech ID,Supplier / Company,Technology / Component,Capability / Principle,Current Application,Maturity,Fitting Applicability,Source ID,,
ST-001,Runner,Hygieia 2-in-1 Pull-Down Kitchen Faucet,Tách riêng đường nước thường và đường nước lọc/nước uống bằng đầu ra nước uống điều khiển bằng solenoid,Kitchen,Existing proposal,Tích hợp vòi nước lọc và nước thường trong cùng một không gian lắp đặt,"SRC-350, SRC-341",,Tích hợp vòi nước lọc và nước thường trong cùng một không gian lắp đặt
ST-002,Runner,Na-Micro Spray,Tạo tia phun hạt mịn qua các đầu phun chuyên dụng để ngâm/làm sạch,Kitchen,Existing proposal,Bổ sung chế độ ngâm/làm ướt riêng biệt,"SRC-350, SRC-341",,Bổ sung chế độ ngâm/làm ướt riêng biệt
ST-003,Runner,3F Spray Head / Multi-spray Platform,Tích hợp chức năng sục khí + xả sạch + Na-Micro trong cùng một đầu phun,Kitchen,Existing proposal,Nền tảng phun đa chức năng,"SRC-350, SRC-341",,Nền tảng phun đa chức năng
ST-004,Runner,Pull-Switch Self-Reset Spray Head,Công tắc kéo cơ khí 4 mm; tia phun thay thế tự động trở về chế độ mặc định sau khi tắt,Kitchen,Existing proposal,"Điều khiển nhẹ lực, tránh giữ lại chế độ không mong muốn","SRC-350, SRC-341",,"Điều khiển nhẹ lực, tránh giữ lại chế độ không mong muốn"
ST-005,Runner,Dual-mode Low-Power Laser Sensor Faucet,Cảm biến laser + solenoid cho phép kích hoạt nước theo thời gian thực và kích hoạt dòng nước liên tục,Basin / kitchen,Existing proposal,Điều khiển nước không cần dùng tay,"SRC-350, SRC-341",,Điều khiển nước không cần dùng tay
ST-006,Runner,KDF Filter Shower Set,Tích hợp lõi lọc KDF có thể thay thế vào bộ sen tắm,Shower,Tooling,Lọc nước tại điểm sử dụng cho sen tắm,"SRC-351, SRC-342",,Lọc nước tại điểm sử dụng cho sen tắm
ST-007,Runner,Quick Drip Stop Shower Structure,Cấu trúc thủy lực bên trong nhằm ngăn nước tiếp tục nhỏ giọt sau khi tắt,Shower,Tooling,Giảm lượng nước nhỏ giọt sau khi sử dụng,"SRC-351, SRC-342",,Giảm lượng nước nhỏ giọt sau khi sử dụng
ST-008,Runner,Interchangeable Shower Module / Outlet,Module đầu ra có thể thay thế để thay đổi cấu hình tia phun/chức năng,Shower,Concept,Nền tảng cho nhiều chức năng tia phun khác nhau,"SRC-351, SRC-342",,Nền tảng cho nhiều chức năng tia phun khác nhau
ST-009,Runner,Concealed Cartridge Technology,Kiến trúc cartridge điều nhiệt âm tường dạng mỏng,Shower,Concept,Cho phép lắp đặt âm tường nông hơn,"SRC-351, SRC-342",,Cho phép lắp đặt âm tường nông hơn
ST-010,Runner,Hydraulic Switch Shower Combo,Cơ cấu thủy lực chuyển đổi giữa đầu sen và tay sen,Shower,US concept,Chuyển đổi chức năng mà không cần điện tử,"SRC-351, SRC-342",,Chuyển đổi chức năng mà không cần điện tử
ST-011,Runner,PPA Plastic Waterway Platform,"Đường nước bên trong bằng PPA đúc, nằm trong vỏ kim loại",Shower / faucet,Supplier platform,Giảm độ phức tạp gia công và giảm phần đường nước bằng đồng thau,"SRC-351, SRC-343",,Giảm độ phức tạp gia công và giảm phần đường nước bằng đồng thau
ST-012,Hent,Push-Button Cartridge,Vận hành bằng nút nhấn theo phương trục để bật/tắt hoặc điều khiển chức năng,Shower / faucet,Existing product,Điều khiển nhỏ gọn ở mặt trước,"SRC-353, SRC-344",,Điều khiển nhỏ gọn ở mặt trước
ST-013,Hent,Push-Button Temperature Control Cartridge,Kiến trúc điều chỉnh nhiệt độ bằng nút nhấn và ceramic,Shower,Existing product,Giao diện âm tường nhỏ gọn,"SRC-353, SRC-344",,Giao diện âm tường nhỏ gọn
ST-014,Hent,Thermostatic Cartridge Family,Phần tử đáp ứng nhiệt độ điều chỉnh quá trình trộn nước nóng/lạnh,Shower,Existing product,Điều chỉnh nhiệt độ ổn định,"SRC-353, SRC-344",,Điều chỉnh nhiệt độ ổn định
ST-015,Hent,Brass/Zinc Faucet Waterway Architecture,Cấu hình đường nước được điều chỉnh cho các kết cấu vòi bằng đồng thau/kẽm,Faucet,Supplier platform,Hỗ trợ các kiến trúc sản phẩm/cấu trúc sản xuất khác nhau,"SRC-353, SRC-344",,Hỗ trợ các kiến trúc sản phẩm/cấu trúc sản xuất khác nhau
ST-016,Lota,Integrated Shower Filtration,Tích hợp bộ lọc vào cột sen hoặc tay sen,Shower,New concept,Lọc nước mà không cần bộ lọc bên ngoài,"SRC-354, SRC-345",,Lọc nước mà không cần bộ lọc bên ngoài
ST-017,Lota,Magnetic Docking Spray Head,Đầu sen tự căn chỉnh và giữ vị trí bằng nam châm,Kitchen faucet,New concept,Gắn vào nhanh bằng một tay,"SRC-354, SRC-345",,Gắn vào nhanh bằng một tay
ST-018,Lota,Face-U Multi-function Basin Mixer,Xoay vòi 90° để thay đổi giữa hướng phun lên mặt và hướng phun xuống để rửa,Basin,New concept,Giao diện chăm sóc cá nhân đa chức năng,"SRC-354, SRC-345",,Giao diện chăm sóc cá nhân đa chức năng
ST-019,Lota,Clean Jet Spray Head,Tia phun hình quạt mạnh chuyên dụng để làm sạch bề mặt đầu phun,Shower / faucet,New concept,Tích hợp chức năng làm sạch,"SRC-354, SRC-345",,Tích hợp chức năng làm sạch
ST-020,Lota,Pressure Sensor Nozzle,Hình học/độ nhô của đầu phun thay đổi theo áp suất đầu vào; nhằm tăng lực tia và hỗ trợ loại cặn,Shower,New concept,Tia phun thích ứng theo áp suất,"SRC-354, SRC-345",,Tia phun thích ứng theo áp suất
ST-021,Lota,Burst Shower Spray,"Chế độ mặc định tiết kiệm + tăng lưu lượng tạm thời, sau đó tự động trở về chế độ mặc định",Shower,New concept,Chỉ tạo tia phun mạnh khi cần,"SRC-354, SRC-345",,Chỉ tạo tia phun mạnh khi cần
ST-022,Lota,SHUP Modular Non-metallic Waterway,Ống PERT mềm + các đầu nối tiêu chuẩn tạo thành đường nước bên trong dạng module,Basin / kitchen,Supplier platform,Giảm độ phức tạp của nền tảng/khuôn dụng cụ,"SRC-354, SRC-345",,Giảm độ phức tạp của nền tảng/khuôn dụng cụ
ST-023,Sedal,TOP35 High-performance Cartridge,"Cartridge 35 mm kết hợp lưu lượng cao, độ ồn thấp và độ bền cao; nhà cung cấp công bố tới 1,5M chu kỳ ASME và 33 L/min @ 3 bar",Shower / bath,Existing product,Nền tảng lưu lượng cao và độ bền cao,"SRC-355, SRC-346",,Nền tảng lưu lượng cao và độ bền cao
ST-024,Sedal,DUE Water-saving Cartridge,Có điểm dừng giữa hành trình ở khoảng 60% hành trình cần gạt; nhà cung cấp công bố tiết kiệm nước tới 50%,Basin / shower,Existing product,Giới hạn lưu lượng thụ động,"SRC-355, SRC-346",,Giới hạn lưu lượng thụ động
ST-025,Sedal,COLD Technology Cartridge,Vị trí cần gạt ở giữa cấp nước lạnh trước khi đường nước nóng được mở có chủ đích,Basin,Existing product,Tiết kiệm năng lượng thụ động,"SRC-355, SRC-346",,Tiết kiệm năng lượng thụ động
ST-026,Sedal,Nano Shelter / Sedalox Ceramic Compound,Công nghệ hợp chất ceramic nhằm kéo dài độ bền cartridge,Cartridge,Existing technology,Có khả năng kéo dài tuổi thọ sử dụng,"SRC-355, SRC-346",,Có khả năng kéo dài tuổi thọ sử dụng
ST-027,Sedal,Compact Thermostatic Cartridge,TM001C dạng nhỏ gọn giảm khoảng 15% chiều cao cartridge,Shower,Existing product,Kiến trúc âm tường dạng mỏng,"SRC-355, SRC-346",,Kiến trúc âm tường dạng mỏng
ST-028,Sedal,Low-pressure High-flow Thermostatic,Đường nước đặc biệt cho vận hành ở áp suất thấp; nhà cung cấp công bố 16 L/min @ 0.6 bar và 34 L/min @ 3 bar,Shower,Existing product,Giải quyết trực tiếp vấn đề hiệu suất sen tắm khi áp suất thấp,"SRC-355, SRC-346",,Giải quyết trực tiếp vấn đề hiệu suất sen tắm khi áp suất thấp
ST-029,Solex,Slim Thermostatic Concealed Cartridge,Cartridge điều nhiệt dạng mỏng được đóng gói trong kiến trúc âm tường nông,Shower,Supplier platform,Giảm chiều sâu lắp đặt âm tường,"SRC-356, SRC-347",,Giảm chiều sâu lắp đặt âm tường
ST-030,Solex,Built-in Water Shut-off Valve,Van khóa bảo trì tích hợp bên dưới cassette âm tường,Shower,Supplier platform,Dễ cô lập để bảo trì,"SRC-356, SRC-347",,Dễ cô lập để bảo trì
ST-031,Solex,Waterway Protection / Leak Test Structure,Nắp bảo vệ ngăn nhiễm bẩn trong quá trình thi công và cho phép kiểm tra rò rỉ,Concealed shower,Supplier platform,Giảm rủi ro do chất lượng lắp đặt,"SRC-356, SRC-347",,Giảm rủi ro do chất lượng lắp đặt
ST-032,Solex,Water Hammer Airbag,Khoang khí có thể nén hấp thụ xung áp và rung,Concealed shower,Supplier platform,Bảo vệ thủy lực thụ động,"SRC-356, SRC-347",,Bảo vệ thủy lực thụ động
ST-033,Solex,"500,000-cycle Push-button Cartridge",Cartridge nút nhấn có tuổi thọ công bố 500k chu kỳ so với 200k chu kỳ tiêu chuẩn,Shower,Existing product,Độ bền cao kết hợp điều khiển nhỏ gọn,"SRC-357, SRC-347",,Độ bền cao kết hợp điều khiển nhỏ gọn
