ID,Status,Name,Purpose,Prompt
"RS-01","CURRENT","Research Scope Discovery","Derive the smallest research scope needed for the decision.","Purpose:\n  Define the minimum research scope required to support the user's decision.\n\nInput:\n  [REQUEST]: user question or research need\n  [CONTEXT]: known constraints, existing evidence, or prior findings when available\n\nTask:\n  - Define the objective and decision to support.\n  - Separate KNOWN, WORKING and OPEN items.\n  - Identify blocking unknowns.\n  - Classify research topics as MUST / SHOULD / COULD.\n  - Define the minimum sufficient stop condition.\n\nOutput:\n  - Objective\n  - Decision to support\n  - KNOWN / WORKING / OPEN\n  - MUST / SHOULD / COULD\n  - Research route\n  - Stop condition\n\nRules:\n  - Do not ask the user to design the research plan.\n  - Ask only when an unresolved point materially blocks reliable work.\n  - Do not expand into unrelated research.\n  - Preserve the user's terminology and constraints.\n  - Repeat: research only what can materially change the decision; stop when the stop condition is met."
"RS-02","CURRENT","Engineering Research Frame","Create a concise engineering research frame before non-trivial research.","Purpose:\n  Convert a non-trivial engineering question into an executable research frame.\n\nInput:\n  [REQUEST]: research question\n  [CONTEXT]: available context, constraints, existing evidence\n\nTask:\n  - Define objective and decision.\n  - Record constraints.\n  - Separate KNOWN / WORKING / OPEN assumptions.\n  - Identify evidence required.\n  - Select research route.\n  - Define stop condition.\n\nOutput:\n  - Objective / decision\n  - Constraints\n  - KNOWN / WORKING / OPEN\n  - Evidence required\n  - Research route\n  - Stop condition\n\nRules:\n  - Do not invent missing constraints.\n  - Do not perform deep research unless required by the decision.\n  - Preserve the user's terminology.\n  - Repeat: the frame is a routing layer, not the research result."
"RS-03","CURRENT","Product Mechanism Technology Research","Research products, mechanisms, technologies and precedents relevant to an R&D concept.","Purpose:\n  Verify relevant products, technologies, mechanisms and commercial precedents for an R&D concept.\n\nInput:\n  [CONCEPT / IDEA]: idea or technology to investigate\n  [CONTEXT]: application, constraints, existing evidence\n\nTask:\n  - Search manufacturer/primary and technical sources first.\n  - Verify product existence and advertised function.\n  - Investigate internal mechanism only when supported by technical evidence, drawings, patents or equivalent evidence.\n  - Classify precedents as DIRECT / ALTERNATIVE / ADJACENT.\n  - Identify evidence gaps and engineering implications.\n\nOutput:\n  - Relevant precedent / product\n  - Technology / mechanism\n  - Evidence / source\n  - Precedent class\n  - What is verified vs inferred\n  - Engineering implication\n  - Remaining gaps\n\nRules:\n  - Product existence or advertised function does not prove hidden internal mechanism.\n  - Do not infer mechanism from UX alone.\n  - Distinguish external evidence from project knowledge.\n  - Do not claim novelty from absence of found precedents.\n  - Repeat: only supported mechanism statements may be presented as facts."
"RS-04","CURRENT","Material Process Supplier Research","Research materials, processes, components and commercial suppliers for prototyping or implementation.","Purpose:\n  Identify technically relevant materials, processes, components and supplier options for an R&D concept.\n\nInput:\n  [REQUIREMENT]: material/process/component/supplier need\n  [APPLICATION]: intended use and constraints\n\nTask:\n  - Use manufacturer TDS/SDS/application data where available.\n  - Identify relevant grades, processes, components or suppliers only where evidence supports them.\n  - Check compatibility, processing, durability and practical sourcing risks.\n\nOutput:\n  - Candidate material/process/component/supplier\n  - Evidence/source\n  - Relevant specification or capability\n  - Compatibility / processing considerations\n  - Durability / sourcing risks\n  - Unknowns\n\nRules:\n  - Generic chemistry does not prove a specific commercial grade.\n  - Supplier marketing claims must be treated as supplier claims unless independently supported.\n  - Do not infer integration capability without evidence.\n  - Repeat: trace each consequential claim to the best available source."
"RS-05","CURRENT","Patent Prior-Art Research","Find and compare relevant patent/prior-art signals for an R&D concept.","Purpose:\n  Identify technically relevant patents and prior-art signals for an R&D concept.\n\nInput:\n  [CONCEPT / MECHANISM]: target concept\n  [CONTEXT]: known terminology, competitors, dates, jurisdictions when relevant\n\nTask:\n  - Search using keywords, mechanism terminology and CPC/IPC where useful.\n  - Inspect strong candidates beyond title/abstract.\n  - Review independent claims, relevant dependent claims, figures, family and status when material.\n  - Compare relevance to the target concept.\n\nOutput:\n  - Patent / prior-art candidate\n  - Relevance and disclosed mechanism\n  - Key claim/figure evidence\n  - Family / status when material\n  - Similarity / difference to concept\n  - Unresolved IP questions\n\nRules:\n  - Do not claim novelty or freedom-to-operate from a search alone.\n  - Absence of found patents is not proof of novelty.\n  - This is technical research, not legal advice.\n  - Repeat: distinguish technical similarity from legal conclusion."
"RS-06","CURRENT","Engineering Literature Research","Research engineering/scientific evidence for mechanism, material, performance, compatibility or reliability questions.","Purpose:\n  Find technical/scientific evidence relevant to an engineering question.\n\nInput:\n  [QUESTION]: engineering/scientific question\n  [CONTEXT]: material, mechanism, operating conditions, constraints\n\nTask:\n  - Decompose the question into applicable physical principle, mechanism, materials, processing, performance, compatibility, degradation, reliability and test methods.\n  - Use authoritative technical sources and literature.\n  - State applicability, limitations and conflicts.\n\nOutput:\n  - Question / sub-question\n  - Evidence / source\n  - Technical finding\n  - Applicability\n  - Limitations / conflicts\n  - Implication for the engineering decision\n\nRules:\n  - Do not generalize beyond the studied conditions without stating the limitation.\n  - Distinguish measured evidence from theoretical inference.\n  - Repeat: applicability must be stated for consequential findings."
"RS-07","CURRENT","Deep Research Escalation","Run deeper research only when broad, conflicting, high-risk or decision-critical uncertainty remains.","Purpose:\n  Escalate research depth when normal research cannot reliably support the decision.\n\nInput:\n  [QUESTION / DECISION]: decision to support\n  [CURRENT EVIDENCE]: findings already available\n  [GAPS]: unresolved consequential gaps\n\nTask:\n  - Reframe the research around the decision.\n  - Use multiple source types and rounds where useful.\n  - Seek independent corroboration and disconfirming evidence.\n  - Verify consequential claims.\n  - Stop when additional work is unlikely to change the decision.\n\nOutput:\n  - Decision frame\n  - Evidence synthesis\n  - Corroboration / conflict\n  - Key unresolved gaps\n  - Confidence\n  - Stop rationale\n\nRules:\n  - Escalate only for broad, conflicting, high-risk or decision-critical uncertainty.\n  - Do not research for volume.\n  - Repeat: depth must be justified by decision impact."
"RS-08","CURRENT","Evidence Synthesis","Merge research findings into one engineering decision-support result.","Purpose:\n  Consolidate evidence from multiple findings into a decision-support result without losing evidence boundaries.\n\nInput:\n  [FINDINGS]: research findings\n  [DECISION]: decision that the findings must support\n\nTask:\n  - Consolidate decision-relevant evidence.\n  - Build a comparison or feature map when useful.\n  - Interpret engineering implications.\n  - Identify risks and unresolved evidence.\n\nOutput:\n  - Conclusion\n  - Decision-relevant evidence\n  - Comparison / feature map when useful\n  - Engineering interpretation\n  - Risks\n  - Unresolved evidence\n  - Next steps\n  - Sources\n  - Evidence labels: EVIDENCED / INFERRED / PROPOSED / WORKING ASSUMPTION / UNKNOWN\n\nRules:\n  - Never merge inference into evidence.\n  - Never remove material uncertainty to make the conclusion cleaner.\n  - Repeat: every consequential conclusion must be traceable to supporting evidence or explicitly labeled inference."
"RS-09","CURRENT","Evidence Gap Analysis","Identify the missing evidence that could change the decision.","Purpose:\n  Identify the smallest evidence gap that could materially change an engineering decision.\n\nInput:\n  [CLAIM / QUESTION]: target claim or question\n  [CURRENT EVIDENCE]: evidence already available\n  [DECISION]: decision affected\n\nTask:\n  - State what is already supported.\n  - Identify missing evidence.\n  - Assess decision impact.\n  - Define the smallest next research action.\n\nOutput:\n  - Claim / question\n  - Current evidence\n  - Missing evidence\n  - Decision impact\n  - Smallest next research action\n  - Stop condition\n\nRules:\n  - Do not expand into unrelated research.\n  - Do not treat “not found” as proof of absence.\n  - Repeat: prioritize gaps that can change the decision."
"EV-01","CURRENT","Idea Evaluation","Evaluate an R&D idea using decision-relevant criteria without forcing a numeric ranking.","Purpose:\n  Evaluate an R&D idea after evidence review and against criteria relevant to the decision.\n\nInput:\n  [IDEA]: idea to evaluate\n  [EVIDENCE]: available verified findings\n  [CONTEXT]: target application / decision criteria\n\nTask:\n  - Assess User Value, Technical Feasibility, Novelty/Differentiation, Business Potential and Evidence as applicable.\n  - Explain the evidence and major uncertainty for each criterion.\n  - Identify blocking issues and next action.\n\nOutput:\n  - User Value\n  - Technical Feasibility\n  - Novelty / Differentiation\n  - Business Potential\n  - Evidence strength\n  - Major uncertainties\n  - Decision implications\n  - Next action\n\nRules:\n  - Do not invent evidence.\n  - Do not force a numeric score unless explicitly requested.\n  - Do not present missing evidence as negative proof.\n  - Repeat: evaluation is evidence-based and uncertainty must remain visible."
